time,x,y
47.589,348,100
47.631,349,100
47.673,349,100
47.714,348,101
47.756,348,101
47.798,348,101
47.839,347,102
47.881,347,103
47.923,346,102
47.965,346,102
48.006,347,101
48.048,350,101
48.090,349,101
48.131,350,101
48.173,350,101
48.215,350,101
48.257,350,101
48.298,350,101
48.340,350,101
48.382,351,102
48.423,349,101
48.465,349,101
48.507,348,101
48.549,349,100
48.590,348,100
48.632,352,102
48.674,351,101
48.715,350,101
48.757,352,100
48.799,353,101
48.840,352,101
48.882,351,102
48.924,351,102
48.966,352,102
49.007,351,102
49.049,354,102
49.091,351,101
49.132,352,102
49.174,352,102
49.216,353,103
49.258,354,103
49.299,352,103
49.341,353,102
49.383,353,103
49.424,353,102
49.466,352,103
49.508,351,103
49.549,350,104
49.591,349,104
49.633,350,104
49.675,347,104
49.716,345,105
49.758,345,105
49.800,347,106
49.841,347,107
49.883,347,107
49.925,347,107
49.967,346,107
50.008,345,107
50.050,345,108
50.092,345,107
50.133,346,108
50.175,345,108
50.217,344,108
50.259,344,107
50.300,344,107
50.342,344,107
50.384,344,107
50.425,344,107
50.467,345,107
50.509,345,107
50.551,345,106
50.592,346,106
50.634,347,106
50.676,346,107
50.717,345,107
50.759,346,106
50.801,346,107
50.842,346,106
50.884,346,106
50.926,346,105
50.968,346,106
51.009,346,106
51.051,349,107
51.093,349,107
51.134,349,109
51.176,349,106
51.218,349,106
51.260,350,106
51.301,351,106
51.343,351,106
51.385,352,106
51.426,351,105
51.468,352,105
51.510,352,105
51.552,353,105
51.593,353,105
51.635,351,104
51.677,353,105
51.718,352,106
51.760,352,106
51.802,353,106
51.843,352,106
51.885,354,106
51.927,353,105
51.969,356,106
52.010,356,106
52.052,361,107
52.094,358,106
52.135,359,106
52.177,360,106
52.219,362,107
52.261,360,106
52.302,359,106
52.344,360,106
52.386,361,107
52.427,361,106
52.469,358,105
52.511,358,104
52.552,356,104
52.594,356,104
52.636,357,104
52.678,358,104
52.719,357,105
52.761,358,104
52.803,357,105
52.844,357,105
52.886,358,105
52.928,358,105
52.970,358,105
53.011,359,104
53.053,360,105
53.095,360,105
53.136,360,105
53.178,359,105
53.220,361,106
53.262,360,105
53.303,361,106
53.345,360,105
53.387,359,106
53.428,359,105
53.470,359,106
53.512,359,106
53.554,362,106
53.595,359,104
53.637,359,104
53.679,358,104
53.720,358,104
53.762,358,104
53.804,358,104
53.845,360,103
53.887,358,104
53.929,359,103
53.971,360,104
54.012,361,104
54.054,359,106
54.096,359,105
54.137,360,105
54.179,360,105
54.221,362,106
54.263,360,105
54.304,359,104
54.346,359,103
54.388,360,103
54.429,359,102
54.471,358,102
54.513,357,102
54.555,355,101
54.596,354,100
54.638,355,100
54.680,353,100
